"rk","name","pos","age","team_abbr","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","e_fg_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","id","player_image","team_logo"
279,"Wesley Matthews","SG",37,"ATL",9,0,95,6,17,0.353,5,16,0.313,1,1,1,0.5,4,8,0.5,2,8,10,7,3,1,2,12,21,"4032","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4032.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png"
280,"Tyrese Maxey","PG",23,"PHI",18,18,691,169,364,0.464,59,149,0.396,110,215,0.512,0.545,89,99,0.899,12,71,83,120,15,12,28,34,486,"4431678","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431678.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
281,"Skylar Mays","PG",26,"POR",14,5,273,43,106,0.406,12,41,0.293,31,65,0.477,0.462,11,13,0.846,4,20,24,63,11,2,15,19,109,"4066269","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066269.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
282,"Miles McBride","PG",23,"NYK",13,0,56,9,18,0.5,5,14,0.357,4,4,1,0.639,1,2,0.5,1,2,3,3,4,0,0,7,24,"4431823","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431823.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png"
283,"CJ McCollum","PG",32,"NO",9,9,308,66,148,0.446,26,71,0.366,40,77,0.519,0.534,28,36,0.778,7,31,38,54,15,9,13,20,186,"2490149","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2490149.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
284,"T.J. McConnell","PG",31,"IND",13,0,189,42,75,0.56,1,6,0.167,41,69,0.594,0.567,10,14,0.714,7,25,32,55,9,2,11,16,95,"2530530","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2530530.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png"
285,"Jaden McDaniels","SF",23,"MIN",11,11,260,46,79,0.582,11,29,0.379,35,50,0.7,0.652,2,2,1,7,17,24,14,6,4,11,36,105,"4431671","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431671.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
286,"Jalen McDaniels","SF",26,"TOR",15,0,138,13,46,0.283,4,22,0.182,9,24,0.375,0.326,2,2,1,4,14,18,9,5,3,6,13,32,"4066731","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066731.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
287,"Doug McDermott","SF",32,"SAS",17,0,283,38,79,0.481,28,59,0.475,10,20,0.5,0.658,4,6,0.667,3,16,19,31,6,2,12,22,108,"2528588","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528588.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sas.png"
288,"JaVale McGee","C",36,"SAC",17,0,160,40,59,0.678,0,1,0,40,58,0.69,0.678,11,19,0.579,23,39,62,7,5,11,17,20,91,"3452","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3452.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
